Fund Holdings as of,"28/Sep/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"AAPL","APPLE INC","Equity","4.21","225.74","6,036,972.00","1,362,786,059.28","1,362,786,059.28","Information Technology","US0378331005","NASDAQ","United States","USD"
"MSFT","MICROSOFT CORP","Equity","3.56","114.37","10,089,029.00","1,153,882,246.73","1,153,882,246.73","Information Technology","US5949181045","NASDAQ","United States","USD"
"AMZN","AMAZON COM INC","Equity","3.33","2,003.00","539,043.00","1,079,703,129.00","1,079,703,129.00","Consumer Discretionary","US0231351067","NASDAQ","United States","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.70","214.11","2,564,855.00","549,161,104.05","549,161,104.05","Financials","US0846707026","New York Stock Exchange Inc.","United States","USD"
"FB","FACEBOOK CLASS A INC","Equity","1.61","164.46","3,173,035.00","521,837,336.10","521,837,336.10","Information Technology","US30303M1027","NASDAQ","United States","USD"
"JPM","JPMORGAN CHASE & CO","Equity","1.54","112.84","4,421,894.00","498,966,518.96","498,966,518.96","Financials","US46625H1005","New York Stock Exchange Inc.","United States","USD"
"JNJ","JOHNSON & JOHNSON","Equity","1.51","138.17","3,529,688.00","487,696,990.96","487,696,990.96","Health Care","US4781601046","New York Stock Exchange Inc.","United States","USD"
"GOOG","ALPHABET INC CLASS C","Equity","1.49","1,193.47","405,100.00","483,474,697.00","483,474,697.00","Information Technology","US02079K1079","NASDAQ","United States","USD"
"GOOGL","ALPHABET INC CLASS A","Equity","1.47","1,207.08","393,279.00","474,719,215.32","474,719,215.32","Information Technology","US02079K3059","NASDAQ","United States","USD"
"XOM","EXXON MOBIL CORP","Equity","1.46","85.02","5,570,402.00","473,595,578.04","473,595,578.04","Energy","US30231G1022","New York Stock Exchange Inc.","United States","USD"
"BAC","BANK OF AMERICA CORP","Equity","1.11","29.46","12,221,579.00","360,047,717.34","360,047,717.34","Financials","US0605051046","New York Stock Exchange Inc.","United States","USD"
"V","VISA INC CLASS A","Equity","1.08","150.09","2,337,540.00","350,841,378.60","350,841,378.60","Information Technology","US92826C8394","New York Stock Exchange Inc.","United States","USD"
"PFE","PFIZER INC","Equity","1.05","44.07","7,712,746.00","339,900,716.22","339,900,716.22","Health Care","US7170811035","New York Stock Exchange Inc.","United States","USD"
"UNH","UNITEDHEALTH GROUP INC","Equity","1.04","266.04","1,266,318.00","336,891,240.72","336,891,240.72","Health Care","US91324P1021","New York Stock Exchange Inc.","United States","USD"
